Pos;Time;P;J;V;E;D;GP;GC;SG
1;Botafogo;59;31;18;5;8;48;24;24
2;Palmeiras;59;32;17;8;7;53;27;26
3;Bragantino;58;31;16;10;5;44;26;18
4;Grêmio;56;32;17;5;10;53;46;7
5;Atlético-MG;53;32;15;8;9;40;25;15
6;Flamengo;53;31;15;8;8;46;36;10
7;Athletico-PR;49;32;13;10;9;45;37;8
8;Fluminense;45;31;13;6;12;42;41;1
9;Fortaleza;42;30;12;6;12;34;34;0
10;São Paulo;42;31;11;9;11;36;35;1
11;Internacional;42;32;11;9;12;38;40;-2
12;Cuiabá;41;32;11;8;13;31;34;-3
13;Corinthians;40;32;9;13;10;37;38;-1
14;Santos;38;32;10;8;14;36;55;-19
15;Bahia;37;32;10;7;15;38;43;-5
16;Vasco;37;32;10;7;15;33;42;-9
17;Cruzeiro;37;31;9;10;12;29;27;2
18;Goiás;35;32;8;11;13;33;46;-13
19;Coritiba;23;32;6;5;21;35;67;-32
20;América-MG;21;32;4;9;19;38;66;-28
